id,taskType,taskTitle,taskContent,isDone,isReminded,isTimeSet,nextReminderTimestamp,reminderOccasions,isRepeating,repeatCycle,repeatInterval,repeatDays,repeatType,repeatDates,whichWeek,dayOfWeek,months,endRepeatTimestamp,hasProgress,progressType,totalProgress,color,priority,subtaskIds,creationTimestamp,updateTimestamp,groupId,isProgressSummaryHidden,manualSorting,isInTrash
1,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,任务内容任务内容任务内容任务内容任务内容任务内容任务内容任务内容,0,0,,,,,,,,,,,,,,0,0,100,0,0,"1,2,3",1596124800,1596144800,1,0,1,0
2,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,,0,0,,,,,,,,,,,,,,0,1,831,3,1,"1,2,3",1596125601,1596145601,2,0,2,0
3,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,任务内容任务内容任务内容任务内容任务内容任务内容任务内容任务内容,0,0,,,,,,,,,,,,,,0,2,862,3,2,,1596126402,1596146402,3,0,3,0
4,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,,0,0,,,,,,,,,,,,,,0,0,417,0,3,,1596127203,1596147203,4,0,4,0
5,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,任务内容任务内容任务内容任务内容任务内容任务内容任务内容任务内容,0,0,,,,,,,,,,,,,,1,1,985,5,0,"1,2,3",1596128004,1596148004,5,0,5,0
6,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,,0,0,,,,,,,,,,,,,,1,2,422,1,1,"1,2,3",1596128805,1596148805,6,0,6,0
7,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,任务内容任务内容任务内容任务内容任务内容任务内容任务内容任务内容,0,0,,,,,,,,,,,,,,1,0,804,1,2,,1596129606,1596149606,7,0,7,0
8,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,,0,0,,,,,,,,,,,,,,1,1,544,1,3,,1596130407,1596150407,8,0,8,0
9,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,任务内容任务内容任务内容任务内容任务内容任务内容任务内容任务内容,0,1,0,1596124800,0,0,1,7,,0,"1,15,32",0,1,1,1996124800,0,2,929,1,0,"1,2,3",1596131208,1596151208,9,1,9,0
10,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,,0,1,0,1596125601,600,0,1,5,,0,"1,15,33",1,2,2,1996125601,0,0,275,0,1,"1,2,3",1596132009,1596152009,1,1,10,0
11,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,任务内容任务内容任务内容任务内容任务内容任务内容任务内容任务内容,0,1,0,1596126402,"0,600",1,0,1,,0,"1,15,34",2,3,3,1996126402,0,1,182,2,2,,1596132810,1596152810,2,1,11,0
12,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,,0,1,0,1596127203,"0,600,86400",1,1,10,"1,2,3,4,5",0,"1,15,35",3,4,4,1996127203,0,2,575,3,3,,1596133611,1596153611,3,1,12,0
13,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,任务内容任务内容任务内容任务内容任务内容任务内容任务内容任务内容,0,1,1,1596128004,0,0,1,3,,0,"1,15,36",4,5,5,1996128004,1,0,444,5,0,"1,2,3",1596134412,1596154412,4,1,13,0
14,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,,0,1,1,1596128805,600,0,1,6,,0,"1,15,37",5,6,6,1996128805,1,1,41,1,1,"1,2,3",1596135213,1596155213,5,1,14,0
15,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,任务内容任务内容任务内容任务内容任务内容任务内容任务内容任务内容,0,1,1,1596129606,"0,600",1,2,10,"1,2,3,4",0,"1,15,38",0,7,"1,3,7",1996129606,1,2,875,0,2,,1596136014,1596156014,6,1,15,0
16,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,,0,1,1,1596130407,"0,600,86400",1,3,7,1,0,"1,15,39",1,8,8,1996130407,1,0,231,1,3,,1596136815,1596156815,7,1,16,0
17,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,任务内容任务内容任务内容任务内容任务内容任务内容任务内容任务内容,1,0,,,,,,,,,,,,,,0,1,267,1,0,"1,2,3",1596137616,1596157616,8,0,17,0
18,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,,1,0,,,,,,,,,,,,,,0,2,399,4,1,"1,2,3",1596138417,1596158417,9,0,18,0
19,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,任务内容任务内容任务内容任务内容任务内容任务内容任务内容任务内容,1,0,,,,,,,,,,,,,,0,0,234,4,2,,1596139218,1596159218,1,0,19,0
20,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,,1,0,,,,,,,,,,,,,,0,1,573,3,3,,1596140019,1596160019,2,0,20,0
21,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,任务内容任务内容任务内容任务内容任务内容任务内容任务内容任务内容,1,0,,,,,,,,,,,,,,1,2,901,1,0,"1,2,3",1596140820,1596160820,3,0,21,0
22,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,,1,0,,,,,,,,,,,,,,1,0,364,3,1,"1,2,3",1596141621,1596161621,4,0,22,0
23,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,任务内容任务内容任务内容任务内容任务内容任务内容任务内容任务内容,1,0,,,,,,,,,,,,,,1,1,177,2,2,,1596142422,1596162422,5,0,23,0
24,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,,1,0,,,,,,,,,,,,,,1,2,354,5,3,,1596143223,1596163223,6,0,24,0
25,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,任务内容任务内容任务内容任务内容任务内容任务内容任务内容任务内容,1,1,0,1596224800,0,0,1,7,,0,"1,15,32",0,1,1,1996224800,0,0,890,3,0,"1,2,3",1596144024,1596164024,7,1,25,0
26,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,,1,1,0,1596225601,600,0,1,5,,0,"1,15,33",1,2,2,1996225601,0,1,305,1,1,"1,2,3",1596144825,1596164825,8,1,26,0
27,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,任务内容任务内容任务内容任务内容任务内容任务内容任务内容任务内容,1,1,0,1596226402,"0,600",1,0,1,,0,"1,15,34",2,3,3,1996226402,0,2,250,1,2,,1596145626,1596165626,9,1,27,0
28,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,,1,1,0,1596227203,"0,600,86400",1,1,10,"1,2,3,4,5",0,"1,15,35",3,4,4,1996227203,0,0,689,4,3,,1596146427,1596166427,1,1,28,0
29,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,任务内容任务内容任务内容任务内容任务内容任务内容任务内容任务内容,1,1,1,1596228004,0,0,1,3,,0,"1,15,36",4,5,5,1996228004,1,1,94,4,0,"1,2,3",1596147228,1596167228,2,1,29,0
30,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,,1,1,1,1596228805,600,0,1,6,,0,"1,15,37",5,6,6,1996228805,1,2,330,0,1,"1,2,3",1596148029,1596168029,3,1,30,0
31,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,任务内容任务内容任务内容任务内容任务内容任务内容任务内容任务内容,1,1,1,1596229606,"0,600",1,2,10,"1,2,3,4",0,"1,15,38",0,7,7,1996229606,1,0,166,2,2,,1596148830,1596168830,4,1,31,0
32,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,,1,1,1,1596230407,"0,600,86400",1,3,7,1,0,"1,15,39",1,8,8,1996230407,1,1,900,0,3,,1596149631,1596169631,5,1,32,0